"tick","Block","PorpoiseCount"
1.0,2,2015
1.0,0,0
1.0,1,7985
2.0,2,2017
2.0,0,0
2.0,1,7983
3.0,2,2014
3.0,0,0
3.0,1,7986
4.0,2,2008
4.0,0,0
4.0,1,7992
5.0,2,2013
5.0,0,0
5.0,1,7987
6.0,2,2011
6.0,0,0
6.0,1,7989
7.0,2,2011
7.0,0,0
7.0,1,7989
8.0,2,2011
8.0,0,0
8.0,1,7989
9.0,2,2009
9.0,0,0
9.0,1,7991
10.0,2,2013
10.0,0,0
10.0,1,7987
11.0,2,2009
11.0,0,0
11.0,1,7991
12.0,2,2007
12.0,0,0
12.0,1,7993
13.0,2,2004
13.0,0,0
13.0,1,7996
14.0,2,2012
14.0,0,0
14.0,1,7988
15.0,2,2005
15.0,0,0
15.0,1,7995
16.0,2,2011
16.0,0,0
16.0,1,7989
17.0,2,2010
17.0,0,0
17.0,1,7990
18.0,2,2012
18.0,0,0
18.0,1,7988
19.0,2,2008
19.0,0,0
19.0,1,7992
20.0,2,2007
20.0,0,0
20.0,1,7993
21.0,2,2010
21.0,0,0
21.0,1,7990
22.0,2,2006
22.0,0,0
22.0,1,7994
23.0,2,2008
23.0,0,0
23.0,1,7992
24.0,2,2007
24.0,0,0
24.0,1,7993
25.0,2,2006
25.0,0,0
25.0,1,7994
26.0,2,2006
26.0,0,0
26.0,1,7994
27.0,2,2013
27.0,0,0
27.0,1,7987
28.0,2,2005
28.0,0,0
28.0,1,7995
29.0,2,2006
29.0,0,0
29.0,1,7994
30.0,2,2006
30.0,0,0
30.0,1,7994
31.0,2,2003
31.0,0,0
31.0,1,7997
32.0,2,2007
32.0,0,0
32.0,1,7993
33.0,2,2003
33.0,0,0
33.0,1,7997
34.0,2,2003
34.0,0,0
34.0,1,7997
35.0,2,2000
35.0,0,0
35.0,1,8000
36.0,2,2001
36.0,0,0
36.0,1,7999
37.0,2,2001
37.0,0,0
37.0,1,7999
38.0,2,2002
38.0,0,0
38.0,1,7998
39.0,2,2003
39.0,0,0
39.0,1,7997
40.0,2,1999
40.0,0,0
40.0,1,8001
41.0,2,2004
41.0,0,0
41.0,1,7996
42.0,2,2002
42.0,0,0
42.0,1,7997
43.0,2,2001
43.0,0,0
43.0,1,7998
44.0,2,2005
44.0,0,0
44.0,1,7994
45.0,2,2006
45.0,0,0
45.0,1,7993
46.0,2,2006
46.0,0,0
46.0,1,7993
47.0,2,2006
47.0,0,0
47.0,1,7993
48.0,2,2003
48.0,0,0
48.0,1,7996
49.0,2,2005
49.0,0,0
49.0,1,7994
50.0,2,2006
50.0,0,0
50.0,1,7993
51.0,2,2004
51.0,0,0
51.0,1,7995
52.0,2,2008
52.0,0,0
52.0,1,7991
53.0,2,2012
53.0,0,0
53.0,1,7987
54.0,2,2007
54.0,0,0
54.0,1,7992
55.0,2,2010
55.0,0,0
55.0,1,7989
56.0,2,2006
56.0,0,0
56.0,1,7993
57.0,2,2008
57.0,0,0
57.0,1,7991
58.0,2,2012
58.0,0,0
58.0,1,7987
59.0,2,2019
