"id" "x.coordinate" "y.coordinate" "impact" "tick.start" "tick.end"
"WF001_001" 4033166.13504297 3578592.86939368 300 345601 345607
"WF001_002" 4034666.13504297 3578592.86939368 300 345703 345709
"WF001_003" 4036166.13504297 3578592.86939368 300 345805 345811
"WF001_004" 4037666.13504297 3578592.86939368 300 345907 345913
"WF001_005" 4039166.13504297 3578592.86939368 300 346009 346015
"WF001_006" 4033166.13504297 3580092.86939368 300 346111 346117
"WF001_007" 4034666.13504297 3580092.86939368 300 346213 346219
"WF001_008" 4036166.13504297 3580092.86939368 300 346315 346321
"WF001_009" 4037666.13504297 3580092.86939368 300 346417 346423
"WF001_010" 4039166.13504297 3580092.86939368 300 346519 346525
"WF001_011" 4033166.13504297 3581592.86939368 300 346621 346627
"WF001_012" 4034666.13504297 3581592.86939368 300 346723 346729
"WF001_013" 4036166.13504297 3581592.86939368 300 346825 346831
"WF001_014" 4037666.13504297 3581592.86939368 300 346927 346933
"WF001_015" 4039166.13504297 3581592.86939368 300 347029 347035
"WF001_016" 4033166.13504297 3583092.86939368 300 347131 347137
"WF001_017" 4034666.13504297 3583092.86939368 300 347233 347239
"WF001_018" 4036166.13504297 3583092.86939368 300 347335 347341
"WF001_019" 4037666.13504297 3583092.86939368 300 347437 347443
"WF001_020" 4039166.13504297 3583092.86939368 300 347539 347545
"WF001_021" 4033166.13504297 3584592.86939368 300 347641 347647
"WF001_022" 4034666.13504297 3584592.86939368 300 347743 347749
"WF001_023" 4036166.13504297 3584592.86939368 300 347845 347851
"WF001_024" 4037666.13504297 3584592.86939368 300 347947 347953
"WF001_025" 4039166.13504297 3584592.86939368 300 348049 348055
"WF002_001" 4087170.5434395 3555085.5929664 300 348151 348157
"WF002_002" 4088670.5434395 3555085.5929664 300 348253 348259
"WF002_003" 4090170.5434395 3555085.5929664 300 348355 348361
"WF002_004" 4091670.5434395 3555085.5929664 300 348457 348463
"WF002_005" 4093170.5434395 3555085.5929664 300 348559 348565
"WF002_006" 4087170.5434395 3556585.5929664 300 348661 348667
"WF002_007" 4088670.5434395 3556585.5929664 300 348763 348769
"WF002_008" 4090170.5434395 3556585.5929664 300 348865 348871
"WF002_009" 4091670.5434395 3556585.5929664 300 348967 348973
"WF002_010" 4093170.5434395 3556585.5929664 300 349069 349075
"WF002_011" 4087170.5434395 3558085.5929664 300 349171 349177
"WF002_012" 4088670.5434395 3558085.5929664 300 349273 349279
"WF002_013" 4090170.5434395 3558085.5929664 300 349375 349381
"WF002_014" 4091670.5434395 3558085.5929664 300 349477 349483
"WF002_015" 4093170.5434395 3558085.5929664 300 349579 349585
"WF002_016" 4087170.5434395 3559585.5929664 300 349681 349687
"WF002_017" 4088670.5434395 3559585.5929664 300 349783 349789
"WF002_018" 4090170.5434395 3559585.5929664 300 349885 349891
"WF002_019" 4091670.5434395 3559585.5929664 300 349987 349993
"WF002_020" 4093170.5434395 3559585.5929664 300 350089 350095
"WF002_021" 4087170.5434395 3561085.5929664 300 350191 350197
"WF002_022" 4088670.5434395 3561085.5929664 300 350293 350299
"WF002_023" 4090170.5434395 3561085.5929664 300 350395 350401
"WF002_024" 4091670.5434395 3561085.5929664 300 350497 350503
"WF002_025" 4093170.5434395 3561085.5929664 300 350599 350605
"WF003_001" 4089413.44117389 3431675.992192 300 350701 350707
"WF003_002" 4090913.44117389 3431675.992192 300 350803 350809
"WF003_003" 4092413.44117389 3431675.992192 300 350905 350911
"WF003_004" 4093913.44117389 3431675.992192 300 351007 351013
"WF003_005" 4095413.44117389 3431675.992192 300 351109 351115
"WF003_006" 4089413.44117389 3433175.992192 300 351211 351217
"WF003_007" 4090913.44117389 3433175.992192 300 351313 351319
"WF003_008" 4092413.44117389 3433175.992192 300 351415 351421
"WF003_009" 4093913.44117389 3433175.992192 300 351517 351523
"WF003_010" 4095413.44117389 3433175.992192 300 351619 351625
"WF003_011" 4089413.44117389 3434675.992192 300 351721 351727
"WF003_012" 4090913.44117389 3434675.992192 300 351823 351829
"WF003_013" 4092413.44117389 3434675.992192 300 351925 351931
"WF003_014" 4093913.44117389 3434675.992192 300 352027 352033
"WF003_015" 4095413.44117389 3434675.992192 300 352129 352135
"WF003_016" 4089413.44117389 3436175.992192 300 352231 352237
"WF003_017" 4090913.44117389 3436175.992192 300 352333 352339
"WF003_018" 4092413.44117389 3436175.992192 300 352435 352441
"WF003_019" 4093913.44117389 3436175.992192 300 352537 352543
"WF003_020" 4095413.44117389 3436175.992192 300 352639 352645
"WF003_021" 4089413.44117389 3437675.992192 300 352741 352747
"WF003_022" 4090913.44117389 3437675.992192 300 352843 352849
"WF003_023" 4092413.44117389 3437675.992192 300 352945 352951
"WF003_024" 4093913.44117389 3437675.992192 300 353047 353053
"WF003_025" 4095413.44117389 3437675.992192 300 353149 353155
"WF004_001" 4084773.4640851 3514971.93009082 300 353251 353257
"WF004_002" 4086273.4640851 3514971.93009082 300 353353 353359
"WF004_003" 4087773.4640851 3514971.93009082 300 353455 353461
"WF004_004" 4089273.4640851 3514971.93009082 300 353557 353563
"WF004_005" 4090773.4640851 3514971.93009082 300 353659 353665
"WF004_006" 4084773.4640851 3516471.93009082 300 353761 353767
"WF004_007" 4086273.4640851 3516471.93009082 300 353863 353869
"WF004_008" 4087773.4640851 3516471.93009082 300 353965 353971
"WF004_009" 4089273.4640851 3516471.93009082 300 354067 354073
"WF004_010" 4090773.4640851 3516471.93009082 300 354169 354175
"WF004_011" 4084773.4640851 3517971.93009082 300 354271 354277
"WF004_012" 4086273.4640851 3517971.93009082 300 354373 354379
"WF004_013" 4087773.4640851 3517971.93009082 300 354475 354481
"WF004_014" 4089273.4640851 3517971.93009082 300 354577 354583
